127.0.0.1 - - [14/Nov/2023:00:49:16 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:49:16 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:49:17 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:49:17 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:49:17 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:49:17 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:49:17 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - root [14/Nov/2023:00:49:21 -0600] "GET /manager/text/reload?path=/ap HTTP/1.1" 200 72
127.0.0.1 - - [14/Nov/2023:00:49:21 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:49:21 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:28 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:28 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:29 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:29 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:29 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:29 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:50:29 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - root [14/Nov/2023:00:50:33 -0600] "GET /manager/text/reload?path=/ap HTTP/1.1" 200 72
127.0.0.1 - - [14/Nov/2023:00:50:33 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:33 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:38 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:38 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:50:40 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:50:40 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:40 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:50:49 -0600] "GET /ap/a.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:50:50 -0600] "POST /ap/EnviarCorreoServlet HTTP/1.1" 404 713
127.0.0.1 - - [14/Nov/2023:00:50:55 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:55 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:56 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:57 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:57 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:57 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:50:57 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:50:57 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [14/Nov/2023:00:50:57 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - root [14/Nov/2023:00:50:57 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - - [14/Nov/2023:00:50:57 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:51:00 -0600] "GET /manager/text/reload?path=/ap HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:05 -0600] "GET /ap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:05 -0600] "GET /ap/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:05 -0600] "GET /ap/css/inicio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:05 -0600] "GET /ap/assets/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:05 -0600] "GET /ap/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:05 -0600] "GET /ap/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:05 -0600] "GET /ap/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:06 -0600] "GET /ap/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:06 -0600] "GET /ap/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:06 -0600] "GET /ap/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Nov/2023:00:51:10 -0600] "POST /ap/EnviarCorreoServlet HTTP/1.1" 404 713
127.0.0.1 - - [14/Nov/2023:00:51:35 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:51:35 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:51:36 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:51:36 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:51:36 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:51:36 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:51:36 -0600] "GET /manager/text/list HTTP/1.1" 200 362
127.0.0.1 - root [14/Nov/2023:00:51:40 -0600] "GET /manager/text/reload?path=/ap HTTP/1.1" 200 72
127.0.0.1 - - [14/Nov/2023:00:51:40 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:51:40 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:51:51 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:51:51 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:51:53 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:51:53 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - - [14/Nov/2023:00:51:53 -0600] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [14/Nov/2023:00:51:53 -0600] "GET /manager/text/ HTTP/1.1" 401 2562
127.0.0.1 - root [14/Nov/2023:00:51:53 -0600] "GET /manager/text/list HTTP/1.1" 200 362
